Identifier,OmekaID,Thumbnail
0c094fbb-6b9d-4099-925a-b5d182bba000,12581,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12581/P-III-a-1614_001.jpg
ab8f4a59-2717-4121-ad2d-22c4d9ec044f,12115,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12115/P-III-a-1195_001.jpg
3ae6bdb8-f1fa-4974-bcee-36c4d5eeaa33,11824,
0df0dc52-4c0a-435a-a12a-d248714d84e0,11241,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11241/P-III-a-0768_001.jpg
c7678875-6f38-4695-b168-f99bc3c6d685,12393,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12393/P-III-b-0463_001.jpg
1e540f14-2cb5-4dfa-9cdf-1567568271af,12272,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12272/P-III-c-191_001.jpg
c3455204-9776-4cc4-8994-e9ae87f95a6c,11597,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11597/P-III-a-0873_001.jpg
f5e0f37a-a712-4cb9-96b4-2b1d6012b42e,11337,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11337/P-III-b-0850_001.jpg
f1be9e17-d2a6-4320-96ef-381b08df3d72,10997,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10997/P-III-c-099_001.jpg
b1c6168f-e90f-43e7-b33a-104f20749757,13183,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13183/P-III-b-1157_001.jpg
b50e1703-802b-436c-b202-24242ab461df,11391,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11391/P-III-a-0737_001.jpg
3ef1c910-d67e-45a2-ade9-56caadf29fba,13433,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13433/P-III-a-2102_001.jpg
299ec318-a8b2-4c05-a53a-54dd207eb8f8,13124,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13124/P-III-a-2033_001.jpg
c422982d-bde9-4a47-ac3f-c24d52324605,13080,
f10f922a-3616-490d-85e4-d809b24cb031,10987,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10987/P-III-a-0255_0001.jpg
1d3b6526-9f85-4732-bb98-1ae88efa2dc4,12839,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12839/P-III-b-0451_001.jpg
c8f8cead-bf98-40ac-80d4-90f06a315231,11025,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11025/P-III-b-0031_001.jpg
ef85bbff-0dc4-4198-b6e7-0a2a43c27e07,12419,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/12419/P-III-b-0401_001.jpg
1b4b8f69-4670-496c-8ccd-f63e82a73305,13006,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/13006/P-III-b-0266_001.jpg
0865b170-6d69-4f32-9547-46ec0c4f6b82,11672,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/11672/P-III-a-2838_001.jpg
168a9efb-bd61-4ed2-8702-febbd1d0fe2c,10907,https://iiif.dl.itc.u-tokyo.ac.jp/tmp4omeka/toyo/files/square/10907/P-III-b-1177_001.jpg
